TIME,CH1
-1.54810937e-08,-1.56250000e-05
-1.54610937e-08,-4.68750000e-05
-1.54410937e-08,6.25000000e-05
-1.54210937e-08,9.37500000e-05
-1.54010937e-08,-1.56250000e-05
-1.53810937e-08,-7.81250000e-05
-1.53610938e-08,4.68750000e-05
-1.53410937e-08,1.25000000e-04
-1.53210937e-08,0.00000000e+00
-1.53010937e-08,-1.25000000e-04
-1.52810937e-08,1.56250000e-05
-1.52610937e-08,2.18750000e-04
-1.52410937e-08,9.37500000e-05
-1.52210938e-08,-2.81250000e-04
-1.52010937e-08,-2.03125000e-04
-1.51810937e-08,7.03125000e-04
-1.51610937e-08,1.73437500e-03
-1.51410937e-08,1.75000000e-03
-1.51210937e-08,6.87500000e-04
-1.51010937e-08,-2.81250000e-04
-1.50810938e-08,-3.12500000e-04
-1.50610937e-08,1.40625000e-04
-1.50410937e-08,2.50000000e-04
-1.50210937e-08,0.00000000e+00
-1.50010937e-08,-1.40625000e-04
-1.49810937e-08,-6.25000000e-05
-1.49610938e-08,1.25000000e-04
-1.49410938e-08,2.81250000e-04
-1.49210937e-08,-3.12500000e-05
-1.49010937e-08,-1.01562500e-03
-1.48810937e-08,-1.96875000e-03
-1.48610937e-08,-2.12500000e-03
-1.48410937e-08,-1.84375000e-03
-1.48210937e-08,-2.28125000e-03
-1.48010937e-08,-3.50000000e-03
-1.47810937e-08,-4.34375000e-03
-1.47610937e-08,-4.18750000e-03
-1.47410937e-08,-3.78125000e-03
-1.47210937e-08,-3.84375000e-03
-1.47010937e-08,-4.10937500e-03
-1.46810937e-08,-4.09375000e-03
-1.46610937e-08,-3.89062500e-03
-1.46410937e-08,-3.89062500e-03
-1.46210937e-08,-4.04687500e-03
-1.46010937e-08,-4.04687500e-03
-1.45810937e-08,-3.93750000e-03
-1.45610937e-08,-3.92187500e-03
-1.45410937e-08,-4.00000000e-03
-1.45210937e-08,-4.03125000e-03
-1.45010937e-08,-4.00000000e-03
-1.44810937e-08,-3.93750000e-03
-1.44610937e-08,-3.92187500e-03
-1.44410937e-08,-4.00000000e-03
-1.44210937e-08,-4.09375000e-03
-1.44010937e-08,-3.98437500e-03
-1.43810937e-08,-3.78125000e-03
-1.43610937e-08,-3.93750000e-03
-1.43410937e-08,-4.40625000e-03
-1.43210937e-08,-4.15625000e-03
-1.43010937e-08,-2.48437500e-03
-1.42810937e-08,-4.21875000e-04
-1.42610937e-08,4.68750000e-04
-1.42410937e-08,1.87500000e-04
-1.42210937e-08,-7.81250000e-05
-1.42010937e-08,-3.12500000e-05
-1.41810937e-08,-1.71875000e-04
-1.41610937e-08,-6.25000000e-05
-1.41410937e-08,1.31250000e-03
-1.41210937e-08,3.50000000e-03
-1.41010937e-08,4.68750000e-03
-1.40810937e-08,4.31250000e-03
-1.40610937e-08,3.62500000e-03
-1.40410937e-08,3.68750000e-03
-1.40210937e-08,4.46875000e-03
-1.40010937e-08,5.67187500e-03
-1.39810937e-08,7.07812500e-03
-1.39610937e-08,8.14062500e-03
-1.39410937e-08,8.31250000e-03
-1.39210937e-08,7.95312500e-03
-1.39010937e-08,7.84375000e-03
-1.38810937e-08,8.07812500e-03
-1.38610937e-08,8.15625000e-03
-1.38410937e-08,7.98437500e-03
-1.38210937e-08,7.90625000e-03
-1.38010937e-08,8.04687500e-03
-1.37810937e-08,8.14062500e-03
-1.37610937e-08,8.00000000e-03
-1.37410937e-08,7.89062500e-03
-1.37210937e-08,8.03125000e-03
-1.37010937e-08,8.18750000e-03
-1.36810937e-08,8.04687500e-03
-1.36610937e-08,7.78125000e-03
-1.36410937e-08,7.95312500e-03
-1.36210937e-08,8.46875000e-03
-1.36010937e-08,8.20312500e-03
-1.35810937e-08,6.54687500e-03
-1.35610937e-08,4.46875000e-03
-1.35410937e-08,3.48437500e-03
-1.35210937e-08,3.82812500e-03
-1.35010937e-08,4.32812500e-03
-1.34810937e-08,4.17187500e-03
-1.34610937e-08,3.76562500e-03
-1.34410937e-08,3.87500000e-03
-1.34210937e-08,4.31250000e-03
-1.34010937e-08,4.26562500e-03
-1.33810937e-08,3.40625000e-03
-1.33610937e-08,2.42187500e-03
-1.33410937e-08,2.00000000e-03
-1.33210937e-08,1.87500000e-03
-1.33010937e-08,1.21875000e-03
-1.32810937e-08,1.09375000e-04
-1.32610937e-08,-4.37500000e-04
-1.32410937e-08,-3.12500000e-05
-1.32210937e-08,4.06250000e-04
-1.32010937e-08,6.25000000e-05
-1.31810937e-08,-4.37500000e-04
-1.31610937e-08,-3.12500000e-05
-1.31410937e-08,1.21875000e-03
-1.31210937e-08,2.10937500e-03
-1.31010937e-08,2.04687500e-03
-1.30810937e-08,1.82812500e-03
-1.30610937e-08,2.40625000e-03
-1.30410937e-08,3.57812500e-03
-1.30210937e-08,4.29687500e-03
-1.30010937e-08,4.20312500e-03
-1.29810937e-08,3.89062500e-03
-1.29610937e-08,3.90625000e-03
-1.29410937e-08,4.09375000e-03
-1.29210937e-08,4.10937500e-03
-1.29010937e-08,3.96875000e-03
-1.28810937e-08,3.95312500e-03
-1.28610937e-08,4.04687500e-03
-1.28410937e-08,4.06250000e-03
-1.28210937e-08,4.01562500e-03
-1.28010937e-08,3.98437500e-03
-1.27810937e-08,4.03125000e-03
-1.27610937e-08,4.06250000e-03
-1.27410937e-08,4.03125000e-03
-1.27210937e-08,4.00000000e-03
-1.27010937e-08,4.00000000e-03
-1.26810937e-08,4.04687500e-03
-1.26610937e-08,4.04687500e-03
-1.26410937e-08,4.00000000e-03
-1.26210937e-08,3.98437500e-03
-1.26010937e-08,4.04687500e-03
-1.25810937e-08,4.07812500e-03
-1.25610938e-08,4.01562500e-03
-1.25410937e-08,3.93750000e-03
-1.25210937e-08,4.01562500e-03
-1.25010937e-08,4.15625000e-03
-1.24810937e-08,4.07812500e-03
-1.24610937e-08,3.78125000e-03
-1.24410937e-08,3.84375000e-03
-1.24210937e-08,4.60937500e-03
-1.24010937e-08,5.56250000e-03
-1.23810937e-08,6.03125000e-03
-1.23610937e-08,6.21875000e-03
-1.23410937e-08,6.84375000e-03
-1.23210937e-08,7.90625000e-03
-1.23010937e-08,8.43750000e-03
-1.22810937e-08,8.09375000e-03
-1.22610937e-08,7.71875000e-03
-1.22410937e-08,8.00000000e-03
-1.22210937e-08,8.34375000e-03
-1.22010937e-08,7.98437500e-03
-1.21810937e-08,7.07812500e-03
-1.21610937e-08,6.18750000e-03
-1.21410937e-08,5.37500000e-03
-1.21210937e-08,4.46875000e-03
-1.21010937e-08,3.85937500e-03
-1.20810938e-08,3.82812500e-03
-1.20610937e-08,4.06250000e-03
-1.20410937e-08,4.15625000e-03
-1.20210937e-08,4.10937500e-03
-1.20010937e-08,3.89062500e-03
-1.19810937e-08,3.25000000e-03
-1.19610937e-08,2.25000000e-03
-1.19410937e-08,1.25000000e-03
-1.19210937e-08,4.21875000e-04
-1.19010937e-08,-1.09375000e-04
-1.18810937e-08,-1.09375000e-04
-1.18610937e-08,1.87500000e-04
-1.18410937e-08,6.25000000e-05
-1.18210937e-08,-7.96875000e-04
-1.18010937e-08,-1.85937500e-03
-1.17810937e-08,-2.71875000e-03
-1.17610937e-08,-3.48437500e-03
-1.17410937e-08,-4.09375000e-03
-1.17210937e-08,-4.20312500e-03
-1.17010937e-08,-3.93750000e-03
-1.16810937e-08,-3.84375000e-03
-1.16610937e-08,-4.01562500e-03
-1.16410937e-08,-4.07812500e-03
-1.16210937e-08,-3.93750000e-03
-1.16010938e-08,-3.92187500e-03
-1.15810937e-08,-4.01562500e-03
-1.15610937e-08,-4.03125000e-03
-1.15410937e-08,-3.93750000e-03
-1.15210937e-08,-3.93750000e-03
-1.15010937e-08,-4.01562500e-03
-1.14810937e-08,-4.00000000e-03
-1.14610938e-08,-3.95312500e-03
-1.14410937e-08,-3.96875000e-03
-1.14210937e-08,-4.01562500e-03
-1.14010937e-08,-3.98437500e-03
-1.13810937e-08,-3.95312500e-03
-1.13610937e-08,-3.96875000e-03
-1.13410937e-08,-4.01562500e-03
-1.13210937e-08,-3.98437500e-03
